county_state,2012 Both Sexes,cig_total_mean,cig_daily_mean,deaths-per-100k
"Abbeville, SC",41.3,25.39,18.09,989.3
"Acadia, LA",48.7,30.57,23.93,1407.6
"Accomack, VA",48.1,22.99,16.62,1275.2
"Ada, ID",59.6,16.62,12.43,1004.3
"Adair, IA",55.8,22.35,16.8,888.0
"Adair, KY",32.2,29.43,23.57,1507.7
"Adair, MO",48.1,23.27,17.88,1145.0
"Adair, OK",34.2,33.53,24.26,1770.9
"Adams, IA",57.0,22.32,16.57,1291.3
"Adams, ID",63.5,22.65,16.79,755.3
"Adams, IL",56.9,23.23,17.5,969.2
"Adams, IN",43.9,26.75,21.1,983.3
"Adams, MS",48.1,25.36,17.42,1163.7
"Adams, ND",68.4,22.61,16.89,1075.3
"Adams, NE",61.4,20.46,15.89,1021.1
"Adams, OH",37.2,29.2,23.31,1334.7
"Adams, PA",54.8,21.54,15.83,1242.6
"Adams, WA",42.4,16.67,11.39,975.4
"Adams, WI",60.3,25.97,19.07,930.9
"Addison, VT",69.1,16.7,11.79,1032.6
"Aiken, SC",50.8,22.38,15.9,1025.9
"Aitkin, MN",59.1,24.53,17.66,879.1
"Alachua, FL",60.2,16.72,11.16,754.9
"Alamance, NC",49.2,24.74,17.4,1016.8
"Alameda, CA",59.8,12.93,8.62,723.3
"Alamosa, CO",47.3,19.29,12.76,1027.1
"Albany, NY",65.0,17.66,11.79,1032.3
"Albany, WY",60.9,15.17,10.35,887.4
"Albemarle, VA",62.3,14.31,9.26,723.2
"Alcona, MI",57.7,26.3,19.55,1305.9
"Alcorn, MS",31.9,25.73,19.14,1516.1
"Alexander, IL",37.9,27.96,20.65,1209.5
"Alexander, NC",36.2,25.58,20.35,967.5
"Alfalfa, OK",53.3,24.44,18.12,1198.2
"Alger, MI",60.3,26.03,18.88,1061.9
"Allamakee, IA",63.9,22.6,17.61,1276.8
"Allegan, MI",59.6,21.81,16.32,1053.7
"Allegany, MD",50.6,24.2,17.77,1254.7
"Allegany, NY",56.4,22.33,16.16,1131.0
"Alleghany, NC",34.5,25.58,19.53,944.3
"Alleghany, VA",44.8,24.78,19.38,1162.8
"Allegheny, PA",65.1,23.64,17.0,1190.2
"Allen, IN",56.2,23.2,16.42,1014.4
"Allen, KS",42.4,25.44,19.15,1140.8
"Allen, KY",33.7,31.53,25.84,1204.8
"Allen, LA",42.6,31.37,23.95,1393.9
"Allen, OH",53.5,25.7,19.54,1296.2
"Allendale, SC",40.9,25.28,16.63,1248.3
"Alpena, MI",61.6,24.94,18.91,1531.4
"Alpine, CA",61.4,18.23,11.74,910.8
"Amador, CA",62.4,22.43,16.49,959.4
"Amelia, VA",44.5,24.59,18.4,1143.7
"Amherst, VA",45.3,25.49,19.58,1056.1
"Amite, MS",33.7,27.3,19.48,1597.4
"Anderson, KS",47.1,25.64,19.73,1101.3
"Anderson, KY",44.4,27.62,22.43,1058.5
"Anderson, SC",43.1,23.88,17.4,1082.5
"Anderson, TN",37.8,24.8,19.47,1185.1
"Anderson, TX",43.8,28.01,19.83,1529.6
"Andrew, MO",55.7,24.4,18.91,1051.7
"Andrews, TX",44.7,22.05,15.4,1345.9
"Androscoggin, ME",60.4,23.51,18.29,1018.9
"Angelina, TX",42.6,24.56,17.51,1198.7
"Anne Arundel, MD",62.7,19.1,14.05,1024.5
"Anoka, MN",66.3,20.27,14.86,679.3
"Anson, NC",33.2,26.28,18.72,1100.1
"Antelope, NE",60.0,22.09,16.35,1060.6
"Antrim, MI",60.9,21.85,16.03,1020.1
"Apache, AZ",36.2,26.8,17.83,880.0
"Appanoose, IA",51.1,24.89,19.15,1124.8
"Appling, GA",32.8,25.7,19.07,1344.3
"Appomattox, VA",44.7,24.46,18.44,1156.7
"Aransas, TX",54.5,21.65,15.12,923.2
"Arapahoe, CO",64.3,17.21,11.33,765.3
"Archer, TX",42.2,21.37,15.57,1128.4
"Archuleta, CO",63.8,18.97,12.69,798.3
"Arenac, MI",58.3,27.65,20.94,1527.4
"Arkansas, AR",43.8,27.6,20.82,1370.3
"Arlington, VA",70.0,10.96,6.39,610.5
"Armstrong, PA",53.6,26.0,20.29,1171.1
"Armstrong, TX",42.4,18.52,12.87,1540.9
"Aroostook, ME",55.7,25.31,18.93,930.4
"Arthur, NE",54.8,17.86,12.52,872.8
"Ascension, LA",56.6,22.5,16.4,1098.4
"Ashe, NC",36.6,25.06,19.16,897.3
"Ashland, OH",50.0,23.56,17.99,1187.8
"Ashland, WI",65.2,23.61,17.25,1268.9
"Ashley, AR",35.6,26.61,19.87,1378.9
"Ashtabula, OH",50.7,29.01,23.44,1365.1
"Asotin, WA",56.5,25.17,19.14,1051.3
"Assumption, LA",51.8,29.08,21.89,1267.0
"Atascosa, TX",46.8,19.74,12.59,1120.7
"Atchison, KS",53.0,25.35,19.12,1067.1
"Atchison, MO",54.7,22.83,17.24,976.4
"Athens, OH",47.5,22.16,16.35,1036.4
"Atkinson, GA",31.6,27.07,18.84,1362.4
"Atlantic, NJ",57.8,22.82,16.27,1288.1
"Atoka, OK",31.7,27.58,20.84,1426.6
"Attala, MS",35.5,24.32,17.09,1278.1
"Audrain, MO",48.3,28.77,23.1,1115.9
"Audubon, IA",56.8,22.24,16.53,900.7
"Auglaize, OH",54.0,22.91,17.9,1276.1
"Aurora, SD",62.5,21.84,16.43,970.9
"Austin, TX",54.7,19.66,13.82,1073.1
"Autauga, AL",42.5,25.1,18.41,1292.6
"Avery, NC",38.7,23.65,17.67,1148.1
"Avoyelles, LA",46.8,30.21,23.12,1580.2
"Baca, CO",53.6,21.97,15.87,864.4
"Bacon, GA",30.2,27.52,20.66,1383.1
"Bailey, TX",40.0,20.56,13.71,1191.5
"Baker, FL",42.1,28.03,21.74,1101.1
"Baker, GA",42.4,26.14,18.63,1016.3
"Baker, OR",56.8,24.33,18.63,1114.4
"Baldwin, AL",55.7,20.9,16.02,1182.2
"Baldwin, GA",44.6,24.18,17.24,1606.1
"Ballard, KY",31.2,27.57,21.63,1250.7
"Baltimore, MD",60.6,19.25,13.53,
"Baltimore, MD",60.6,26.5,18.89,
"Bamberg, SC",41.8,23.78,15.5,978.2
"Bandera, TX",53.4,20.04,13.95,938.3
"Banks, GA",35.4,24.62,19.01,1034.2
"Banner, NE",53.2,18.52,13.54,965.2
"Bannock, ID",38.0,21.19,15.53,1195.8
"Baraga, MI",50.9,28.06,20.1,1142.0
"Barber, KS",51.6,21.48,15.74,1342.6
"Barbour, AL",37.6,26.25,18.73,1508.6
"Barbour, WV",31.5,27.77,22.69,1108.5
"Barnes, ND",66.8,21.65,16.29,842.4
"Barnstable, MA",72.2,19.81,14.22,888.7
"Barnwell, SC",35.1,25.66,18.39,1112.5
"Barren, KY",34.6,28.9,23.62,1304.3
"Barron, WI",62.7,23.51,17.41,1094.5
"Barrow, GA",49.0,23.31,17.15,996.4
"Barry, MI",56.6,22.3,17.09,1110.4
"Barry, MO",41.5,28.25,22.72,1227.5
"Bartholomew, IN",52.6,20.79,15.72,986.4
"Barton, KS",48.7,23.59,17.51,1007.3
"Barton, MO",42.5,26.99,21.8,1236.3
"Bartow, GA",43.2,25.82,19.57,1319.3
"Bastrop, TX",51.2,20.25,13.93,1067.0
"Bates, MO",43.1,29.91,23.45,1245.3
"Bath, KY",29.3,31.02,24.94,1399.4
"Bath, VA",50.7,25.26,19.37,1015.1
"Baxter, AR",48.2,27.4,21.18,1068.9
"Bay, FL",53.5,24.22,18.55,1112.3
"Bay, MI",64.8,24.49,18.73,1545.2
"Bayfield, WI",68.1,20.99,14.96,864.5
"Baylor, TX",36.8,21.13,14.99,1164.8
"Beadle, SD",57.7,22.09,16.95,911.7
"Bear Lake, ID",17.9,19.12,14.48,1004.4
