county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Autauga, AL",41.2,6.0,13.1
"Baldwin, AL",55.1,9.1,17.7
"Barbour, AL",37.0,5.6,12.0
"Bibb, AL",34.2,5.2,11.6
"Blount, AL",34.1,4.8,10.8
"Bullock, AL",36.5,5.8,12.8
"Butler, AL",35.6,5.7,11.9
"Calhoun, AL",38.9,4.9,12.3
"Chambers, AL",36.7,5.7,13.2
"Cherokee, AL",31.9,4.6,10.5
"Chilton, AL",31.6,4.7,10.7
"Choctaw, AL",31.5,4.9,10.9
"Clarke, AL",34.6,5.1,11.9
"Clay, AL",29.8,3.9,9.6
"Cleburne, AL",30.8,5.0,11.0
"Coffee, AL",40.2,5.7,12.7
"Colbert, AL",36.2,5.0,12.2
"Conecuh, AL",36.5,6.1,13.1
"Coosa, AL",34.7,5.5,12.3
"Covington, AL",35.8,5.8,12.7
"Crenshaw, AL",31.5,4.9,10.5
"Cullman, AL",32.9,4.1,10.2
"Dale, AL",40.4,5.6,13.1
"Dallas, AL",39.7,5.1,13.3
"DeKalb, AL",31.0,4.3,10.0
"Elmore, AL",42.9,6.2,13.3
"Escambia, AL",35.9,5.6,12.1
"Etowah, AL",38.5,5.0,13.0
"Fayette, AL",28.7,4.2,10.2
"Franklin, AL",28.6,3.9,9.4
"Geneva, AL",33.1,5.5,11.6
"Greene, AL",36.2,6.3,12.4
"Hale, AL",35.8,5.9,12.5
"Henry, AL",34.3,5.4,11.9
"Houston, AL",42.8,5.6,13.8
"Jackson, AL",31.4,4.6,10.4
"Jefferson, AL",49.9,7.0,15.9
"Lamar, AL",27.9,3.8,9.3
"Lauderdale, AL",35.7,4.9,11.2
"Lawrence, AL",28.8,3.7,9.1
"Lee, AL",49.9,7.3,16.0
"Limestone, AL",36.5,4.7,10.8
"Lowndes, AL",37.1,6.1,13.2
"Macon, AL",42.5,6.6,13.2
"Madison, AL",48.6,6.4,14.0
"Marengo, AL",37.7,5.5,12.5
"Marion, AL",27.4,4.0,9.7
"Marshall, AL",36.8,5.4,12.3
"Mobile, AL",47.8,7.7,16.7
"Monroe, AL",34.3,4.9,11.0
"Montgomery, AL",48.8,7.4,15.7
"Morgan, AL",39.3,5.4,12.3
"Perry, AL",35.9,5.9,13.2
"Pickens, AL",30.6,4.3,9.8
"Pike, AL",39.6,6.6,13.4
"Randolph, AL",35.7,5.7,11.9
"Russell, AL",38.3,4.7,11.7
"Shelby, AL",51.3,6.9,13.8
"St. Clair, AL",38.8,5.3,12.3
"Sumter, AL",36.7,6.1,13.5
"Talladega, AL",37.2,5.3,12.0
"Tallapoosa, AL",37.8,5.5,12.3
"Tuscaloosa, AL",44.6,6.8,14.5
"Walker, AL",31.3,4.3,11.1
"Washington, AL",31.7,4.7,10.0
"Wilcox, AL",35.0,6.1,14.5
"Winston, AL",29.4,4.4,11.0
"Aleutians East , AK",52.3,13.0,25.8
"Aleutians West Cens, AK",52.4,13.0,22.3
"Anchorage Munic, AK",59.6,7.5,17.5
"Bethel Cens, AK",35.7,7.2,17.1
"Bristol Bay , AK",62.4,11.2,21.5
"Denali Borough, Yukon-Koyukuk Cens, AK",47.3,9.2,21.0
"Dillingham Cens, AK",41.9,7.8,18.9
"Fairbanks North Star , AK",59.0,8.7,18.0
"Haines , AK",62.6,11.5,22.2
"Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and , AK",60.5,11.9,22.2
"Juneau City and , AK",61.6,9.5,20.4
"Kenai Peninsula , AK",59.0,9.2,18.2
"Ketchikan Gateway Borough, Petersburg Census Area, Prince of Wales-Hyder Census Area, Wrangell City and , AK",58.3,10.3,22.2
"Kodiak Island , AK",58.4,10.3,20.2
"Lake and Peninsula , AK",46.6,9.3,18.9
"Matanuska-Susitna , AK",55.3,8.8,17.4
"Nome Cens, AK",39.1,7.3,19.4
"North Slope , AK",43.8,8.7,20.3
"Northwest Arctic , AK",34.5,5.4,16.0
"Sitka City and , AK",60.0,9.6,20.3
"Southeast Fairbanks Cens, AK",54.3,9.3,17.7
"Valdez-Cordova Cens, AK",59.5,10.5,21.2
"Wade Hampton Cens, AK",27.6,6.1,15.3
"Apache, AZ",34.7,6.3,15.8
"Cochise, AZ",53.6,7.8,16.8
"Coconino, AZ",58.4,8.9,17.4
"Gila, AZ",53.1,9.3,19.2
"Graham, AZ",36.0,5.6,14.5
"Greenlee, AZ",45.4,8.1,17.4
"La Paz, AZ",53.4,10.6,21.6
"Maricopa, AZ",59.4,8.5,17.9
"Mohave, AZ",60.4,11.0,20.7
"Navajo, AZ",41.8,6.4,14.3
"Pima, AZ",59.7,8.7,17.4
"Pinal, AZ",56.4,9.3,18.4
"Santa Cruz, AZ",55.6,8.8,21.3
"Yavapai, AZ",60.2,9.8,17.1
"Yuma, AZ",54.4,9.3,18.9
"Arkansas, AR",42.8,5.3,13.4
"Ashley, AR",36.0,5.0,11.4
"Baxter, AR",50.0,8.0,16.4
"Benton, AR",51.5,6.4,14.0
"Boone, AR",39.6,5.9,12.5
"Bradley, AR",33.6,4.2,11.0
"Calhoun, AR",39.3,8.0,15.7
"Carroll, AR",46.3,7.4,15.8
"Chicot, AR",36.8,5.8,12.3
"Clark, AR",38.8,5.0,11.7
"Clay, AR",38.5,5.6,13.0
"Cleburne, AR",44.7,6.2,14.0
"Cleveland, AR",38.6,6.1,13.5
"Columbia, AR",40.6,5.3,12.3
"Conway, AR",46.4,9.6,18.0
"Craighead, AR",39.7,5.6,12.1
"Crawford, AR",40.8,5.8,12.7
"Crittenden, AR",42.6,5.8,12.4
"Cross, AR",38.0,5.6,12.4
"Dallas, AR",42.4,7.6,15.2
"Desha, AR",38.2,5.9,12.9
"Drew, AR",39.0,5.1,12.2
"Faulkner, AR",45.9,6.3,13.1
"Franklin, AR",43.9,7.5,16.4
"Fulton, AR",40.0,5.9,12.8
"Garland, AR",52.4,7.2,16.2
"Grant, AR",40.2,5.7,12.1
"Greene, AR",39.8,6.3,13.6
"Hempstead, AR",39.6,5.5,12.3
"Hot Spring, AR",40.3,6.1,13.0
"Howard, AR",36.2,5.3,11.8
"Independence, AR",40.4,5.4,13.1
"Izard, AR",40.3,5.6,13.0
"Jackson, AR",37.8,7.0,14.5
"Jefferson, AR",43.7,6.7,14.0
"Johnson, AR",38.7,6.5,13.9
"Lafayette, AR",36.1,5.2,11.7
"Lawrence, AR",36.2,5.4,12.3
"Lee, AR",36.2,6.5,12.9
"Lincoln, AR",34.4,5.9,12.4
"Little River, AR",38.2,5.5,12.0
"Logan, AR",38.4,5.5,13.1
"Lonoke, AR",43.8,6.4,13.5
"Madison, AR",40.1,6.5,13.4
"Marion, AR",47.7,7.7,14.7
"Miller, AR",43.1,7.4,15.2
"Mississippi, AR",34.0,5.7,12.0
"Monroe, AR",36.6,5.3,12.7
"Montgomery, AR",38.6,5.9,12.9
"Nevada, AR",39.6,5.7,12.1
"Newton, AR",39.4,6.6,13.0
"Ouachita, AR",38.7,6.2,13.5
"Perry, AR",40.3,7.1,14.1
"Phillips, AR",39.1,6.2,12.5
"Pike, AR",35.8,5.5,12.8
"Poinsett, AR",34.4,6.1,13.3
"Polk, AR",39.3,6.1,13.4
"Pope, AR",44.6,6.0,13.6
"Prairie, AR",38.6,5.4,13.4
"Pulaski, AR",53.4,7.6,14.9
"Randolph, AR",35.7,6.1,13.0
"Saline, AR",48.6,6.6,13.3
"Scott, AR",35.8,5.9,12.4
"Searcy, AR",38.8,7.0,13.9
"Sebastian, AR",44.6,6.2,14.5
"Sevier, AR",34.2,4.8,12.2
"Sharp, AR",38.3,5.4,12.9
"St. Francis, AR",36.2,6.0,12.7
"Stone, AR",38.5,5.9,13.0
"Union, AR",38.7,5.3,12.3
"Van Buren, AR",42.9,5.9,13.8
"Washington, AR",50.0,6.9,15.6
"White, AR",38.0,5.7,12.4
"Woodruff, AR",37.6,6.4,14.1
"Yell, AR",37.5,5.6,13.1
"Alameda, CA",59.8,9.9,19.0
"Alpine, CA",57.1,13.2,18.9
"Amador, CA",62.4,13.0,19.8
"Butte, CA",56.7,10.2,17.6
"Calaveras, CA",61.5,13.2,19.9
"Colusa, CA",53.2,9.2,17.0
"Contra Costa, CA",63.2,9.9,18.6
"Del Norte, CA",51.8,8.7,16.4
"El Dorado, CA",65.4,11.9,19.4
"Fresno, CA",47.1,6.9,15.6
"Glenn, CA",53.0,9.1,17.1
"Humboldt, CA",60.2,11.1,19.1
"Imperial, CA",42.7,7.5,15.0
"Inyo, CA",57.8,10.8,18.6
"Kern, CA",47.0,7.4,15.5
"Kings, CA",48.5,8.4,16.2
"Lake, CA",57.7,11.2,18.8
"Lassen, CA",55.2,10.4,17.0
"Los Angeles, CA",52.5,7.5,16.4
"Madera, CA",49.8,8.2,16.3
"Marin, CA",72.8,13.0,20.3
"Mariposa, CA",60.5,12.9,19.8
"Mendocino, CA",60.5,11.0,18.7
"Merced, CA",47.3,7.3,15.7
"Modoc, CA",58.0,11.0,18.1
"Mono, CA",63.3,13.4,20.5
"Monterey, CA",54.3,9.1,17.1
"Napa, CA",64.3,10.3,19.0
"Nevada, CA",66.5,11.2,19.1
"Orange, CA",58.6,8.6,17.8
"Placer, CA",63.0,9.9,17.3
"Plumas, CA",62.9,13.5,20.4
"Riverside, CA",54.0,8.5,16.5
"Sacramento, CA",57.6,9.4,17.8
"San Benito, CA",54.7,9.1,17.2
"San Bernardino, CA",50.3,7.6,16.4
"San Diego, CA",58.8,9.0,18.1
"San Francisco, CA",64.9,13.5,23.3
"San Joaquin, CA",52.0,8.4,16.5
"San Luis Obispo, CA",62.5,11.6,18.9
"San Mateo, CA",63.3,11.2,20.0
"Santa Barbara, CA",60.4,9.6,18.5
"Santa Clara, CA",59.0,8.9,17.8
"Santa Cruz, CA",64.2,10.6,18.8
"Shasta, CA",55.6,9.2,16.6
"Sierra, CA",60.0,14.4,21.7
"Siskiyou, CA",58.5,10.2,17.9
"Solano, CA",58.8,9.4,18.0
"Sonoma, CA",66.8,11.6,20.1
"Stanislaus, CA",51.9,7.5,16.5
"Sutter, CA",52.0,8.2,15.7
"Tehama, CA",56.6,10.5,17.9
"Trinity, CA",59.0,13.0,19.4
"Tulare, CA",46.7,7.5,15.5
"Tuolumne, CA",58.8,10.8,18.1
"Ventura, CA",60.0,8.7,17.8
"Yolo, CA",62.5,10.5,19.2
"Yuba, CA",54.0,9.9,17.4
"Adams County, Boulder County, Broomfield County, Jefferson County, Weld, CO",66.2,8.4,17.4
"Alamosa, CO",49.0,6.4,15.2
"Arapahoe, CO",65.8,7.9,17.7
"Archuleta, CO",66.8,10.6,18.9
"Baca, CO",56.6,7.3,15.0
"Bent, CO",54.1,7.0,16.9
"Chaffee, CO",66.8,10.5,18.3
"Cheyenne, CO",61.4,7.8,18.6
"Clear Creek, CO",75.3,14.0,22.6
"Conejos, CO",38.5,5.7,12.1
"Costilla, CO",47.7,6.7,15.7
"Crowley, CO",46.2,5.5,15.0
"Custer, CO",66.7,9.8,18.6
"Delta, CO",62.4,9.8,18.4
"Denver, CO",64.8,9.9,21.5
"Dolores, CO",67.6,13.2,20.6
"Douglas, CO",72.0,7.9,15.2
"Eagle, CO",74.9,12.5,22.3
"El Paso, CO",61.4,6.7,14.5
"Elbert, CO",64.3,8.2,15.4
"Fremont, CO",58.5,7.7,16.2
"Garfield, CO",67.6,11.5,21.9
"Gilpin, CO",75.1,13.6,21.9
"Grand, CO",74.2,14.0,23.8
"Gunnison, CO",72.7,12.8,23.8
"Hinsdale, CO",75.5,16.6,28.6
"Huerfano, CO",59.6,9.1,19.4
"Jackson, CO",69.3,12.0,23.6
"Kiowa, CO",38.4,3.1,9.0
"Kit Carson, CO",54.9,5.6,15.1
"La Plata, CO",70.6,11.7,20.7
"Lake, CO",67.1,13.1,23.6
"Larimer, CO",68.4,8.2,18.4
"Las Animas, CO",56.0,7.5,17.7
"Lincoln, CO",56.3,5.7,15.0
"Logan, CO",60.8,7.2,17.5
"Mesa, CO",61.2,9.4,17.9
"Mineral, CO",56.1,8.1,17.7
"Moffat, CO",63.2,11.5,21.1
"Montezuma, CO",58.4,9.8,17.5
"Montrose, CO",61.6,10.1,18.6
"Morgan, CO",54.4,6.7,16.3
