county_state,cig_total_2012,cig_daily_2012
"Autauga, AL",25.1,18.41
"Baldwin, AL",20.9,16.02
"Barbour, AL",26.25,18.73
"Bibb, AL",29.41,22.62
"Blount, AL",27.17,19.88
"Bullock, AL",26.84,18.49
"Butler, AL",28.14,20.22
"Calhoun, AL",26.42,19.94
"Chambers, AL",28.18,20.96
"Cherokee, AL",25.76,19.77
"Chilton, AL",27.62,21.08
"Choctaw, AL",24.66,17.62
"Clarke, AL",24.2,17.74
"Clay, AL",28.87,22.55
"Cleburne, AL",28.52,22.84
"Coffee, AL",23.26,16.66
"Colbert, AL",25.16,18.69
"Conecuh, AL",27.43,19.82
"Coosa, AL",29.65,22.47
"Covington, AL",28.47,21.41
"Crenshaw, AL",27.32,20.37
"Cullman, AL",26.8,20.13
"Dale, AL",23.49,17.57
"Dallas, AL",26.39,18.02
"DeKalb, AL",27.46,20.89
"Elmore, AL",26.15,19.18
"Escambia, AL",27.42,20.77
"Etowah, AL",27.76,20.92
"Fayette, AL",27.04,21.0
"Franklin, AL",25.28,19.07
"Geneva, AL",27.21,20.96
"Greene, AL",25.99,16.75
"Hale, AL",26.06,17.6
"Henry, AL",23.39,17.19
"Houston, AL",24.85,18.3
"Jackson, AL",28.09,22.26
"Jefferson, AL",22.06,15.87
"Lamar, AL",26.07,19.99
"Lauderdale, AL",23.14,17.03
"Lawrence, AL",26.98,19.7
"Lee, AL",20.66,14.81
"Limestone, AL",23.59,17.11
"Lowndes, AL",25.5,16.64
"Macon, AL",24.63,16.09
"Madison, AL",19.97,14.04
"Marengo, AL",21.48,14.59
"Marion, AL",26.78,20.84
"Marshall, AL",27.46,21.02
"Mobile, AL",25.03,18.13
"Monroe, AL",26.29,19.72
"Montgomery, AL",21.57,14.74
"Morgan, AL",25.79,18.97
"Perry, AL",25.76,17.01
"Pickens, AL",26.69,19.25
"Pike, AL",22.17,16.14
"Randolph, AL",28.51,22.02
"Russell, AL",26.83,19.75
"St. Clair, AL",25.74,19.51
"Shelby, AL",17.69,12.71
"Sumter, AL",24.19,15.58
"Talladega, AL",26.41,20.0
"Tallapoosa, AL",26.83,19.79
"Tuscaloosa, AL",22.4,16.12
"Walker, AL",28.7,21.96
"Washington, AL",25.16,18.74
"Wilcox, AL",25.72,17.19
"Winston, AL",28.17,21.6
"Aleutians East, AK",24.63,15.64
"Aleutians West, AK",26.25,17.7
"Anchorage, AK",19.14,13.15
"Bethel, AK",33.11,22.13
"Bristol Bay, AK",27.69,19.6
"Denali Borough/Yukon-Koyukuk, AK",31.85,21.62
"Dillingham, AK",31.35,20.97
"Fairbanks North Star, AK",20.73,14.8
"Haines, AK",18.13,11.61
"Juneau City and, AK",18.76,12.31
"Kenai Peninsula, AK",23.09,16.62
"Kodiak Island, AK",22.44,15.21
"Lake and Peninsula, AK",30.07,19.55
"Matanuska-Susitna, AK",23.23,17.12
"Nome, AK",36.89,25.48
"North Slope, AK",35.39,25.53
"Northwest Arctic, AK",41.18,29.75
"Sitka City and, AK",18.82,12.78
"Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and, AK",21.74,13.94
"Southeast Fairbanks, AK",22.56,16.35
"Valdez-Cordova, AK",22.11,15.48
"Wade Hampton, AK",38.62,25.14
"Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and, AK",22.69,15.31
"Apache, AZ",26.8,17.83
"Cochise, AZ",20.99,14.25
"Coconino, AZ",21.54,13.92
"Gila, AZ",26.69,19.22
"Graham, AZ",22.29,16.04
"Greenlee, AZ",20.67,13.84
"La Paz, AZ",26.75,18.27
"Maricopa, AZ",19.71,13.14
"Mohave, AZ",29.22,21.85
"Navajo, AZ",24.48,16.83
"Pima, AZ",19.53,13.31
"Pinal, AZ",23.56,17.29
"Santa Cruz, AZ",17.71,10.46
"Yavapai, AZ",23.69,16.58
"Yuma, AZ",19.08,12.0
"Arkansas, AR",27.6,20.82
"Ashley, AR",26.61,19.87
"Baxter, AR",27.4,21.18
"Benton, AR",20.88,15.64
"Boone, AR",26.57,20.86
"Bradley, AR",27.22,20.06
"Calhoun, AR",29.84,22.84
"Carroll, AR",24.58,18.71
"Chicot, AR",26.63,18.46
"Clark, AR",23.96,17.23
"Clay, AR",30.33,24.51
"Cleburne, AR",26.25,19.95
"Cleveland, AR",26.75,19.77
"Columbia, AR",24.82,17.94
"Conway, AR",27.09,20.36
"Craighead, AR",24.58,18.74
"Crawford, AR",29.17,22.25
"Crittenden, AR",27.03,19.4
"Cross, AR",28.22,21.06
"Dallas, AR",30.02,21.99
"Desha, AR",27.6,19.73
"Drew, AR",24.34,17.38
"Faulkner, AR",22.76,16.2
"Franklin, AR",28.45,22.18
"Fulton, AR",27.6,21.7
"Garland, AR",28.09,21.58
"Grant, AR",27.46,20.48
"Greene, AR",28.94,23.91
"Hempstead, AR",24.98,18.08
"Hot Spring, AR",30.36,23.33
"Howard, AR",27.7,20.2
"Independence, AR",26.72,20.81
"Izard, AR",27.83,21.73
"Jackson, AR",31.6,24.17
"Jefferson, AR",27.1,18.07
"Johnson, AR",25.4,19.64
"Lafayette, AR",27.19,19.62
"Lawrence, AR",29.49,23.69
"Lee, AR",30.3,22.02
