county_state,dbt_total_2012
"Autauga, AL",11.44
"Baldwin, AL",9.76
"Barbour, AL",14.65
"Bibb, AL",12.32
"Blount, AL",11.14
"Bullock, AL",17.74
"Butler, AL",14.16
"Calhoun, AL",12.48
"Chambers, AL",13.91
"Cherokee, AL",11.38
"Chilton, AL",11.43
"Choctaw, AL",14.62
"Clarke, AL",13.88
"Clay, AL",11.59
"Cleburne, AL",11.08
"Coffee, AL",11.59
"Colbert, AL",12.56
"Conecuh, AL",15.02
"Coosa, AL",13.14
"Covington, AL",11.2
"Crenshaw, AL",12.84
"Cullman, AL",11.26
"Dale, AL",12.69
"Dallas, AL",16.8
"DeKalb, AL",11.98
"Elmore, AL",11.67
"Escambia, AL",13.12
"Etowah, AL",12.32
"Fayette, AL",12.21
"Franklin, AL",12.04
"Geneva, AL",11.74
"Greene, AL",18.2
"Hale, AL",15.36
"Henry, AL",12.39
"Houston, AL",11.57
"Jackson, AL",11.31
"Jefferson, AL",11.93
"Lamar, AL",12.3
"Lauderdale, AL",11.41
"Lawrence, AL",12.98
"Lee, AL",12.07
"Limestone, AL",11.63
"Lowndes, AL",17.02
"Macon, AL",17.58
"Madison, AL",10.84
"Marengo, AL",14.66
"Marion, AL",11.62
"Marshall, AL",12.24
"Mobile, AL",12.73
"Monroe, AL",13.33
"Montgomery, AL",13.55
"Morgan, AL",12.07
"Perry, AL",17.82
"Pickens, AL",14.3
"Pike, AL",13.42
"Randolph, AL",12.28
"Russell, AL",14.79
"Saint Clair, AL",10.97
"Shelby, AL",8.74
"Sumter, AL",18.71
"Talladega, AL",12.78
"Tallapoosa, AL",12.19
"Tuscaloosa, AL",11.97
"Walker, AL",11.76
"Washington, AL",13.26
"Wilcox, AL",17.68
"Winston, AL",12.06
"Aleutians East, AK",9.4
"Aleutians West, AK",9.4
"Anchorage, AK",8.12
"Bethel, AK",11.59
"Bristol Bay, AK",8.67
"Denali, AK",8.86
"Dillingham, AK",10.41
"Fairbanks North Star, AK",6.46
"Haines, AK",5.81
"Hoonah-Angoon, AK",7.29
"Juneau City and, AK",6.26
"Kenai Peninsula, AK",6.58
"Ketchikan Gateway, AK",7.22
"Kodiak Island, AK",7.33
"Kusilvak, AK",11.72
"Lake and Peninsula, AK",10.41
"Matanuska-Susitna, AK",7.54
"Nome, AK",9.89
"North Slope, AK",9.6
"Northwest Arctic, AK",10.36
"Petersburg, AK",7.22
"Prince of Wales-Hyder, AK",7.22
"Sitka City and, AK",6.74
"Skagway, AK",7.29
"Southeast Fairbanks, AK",7.18
"Valdez-Cordova, AK",6.99
"Wrangell City and, AK",7.22
"Yakutat City and, AK",7.29
"Yukon-Koyukuk, AK",8.86
"Apache, AZ",14.95
"Cochise, AZ",9.77
"Coconino, AZ",9.77
"Gila, AZ",10.39
"Graham, AZ",11.26
"Greenlee, AZ",10.41
"La Paz, AZ",12.12
"Maricopa, AZ",9.52
"Mohave, AZ",9.6
"Navajo, AZ",12.27
"Pima, AZ",9.03
"Pinal, AZ",11.65
"Santa Cruz, AZ",11.23
"Yavapai, AZ",8.44
"Yuma, AZ",12.12
"Arkansas, AR",11.83
"Ashley, AR",11.83
"Baxter, AR",9.22
"Benton, AR",10.46
"Boone, AR",9.95
"Bradley, AR",12.63
"Calhoun, AR",11.64
"Carroll, AR",10.35
"Chicot, AR",15.19
"Clark, AR",11.85
"Clay, AR",10.86
"Cleburne, AR",10.32
"Cleveland, AR",10.67
"Columbia, AR",12.1
"Conway, AR",11.26
"Craighead, AR",10.45
"Crawford, AR",11.22
"Crittenden, AR",15.25
"Cross, AR",12.22
"Dallas, AR",13.06
"Desha, AR",14.07
"Drew, AR",11.89
"Faulkner, AR",10.61
"Franklin, AR",10.63
"Fulton, AR",10.49
"Garland, AR",10.67
"Grant, AR",9.74
"Greene, AR",11.27
"Hempstead, AR",13.57
"Hot Spring, AR",10.81
"Howard, AR",12.04
"Independence, AR",10.12
"Izard, AR",10.93
"Jackson, AR",12.63
"Jefferson, AR",14.07
"Johnson, AR",10.85
"Lafayette, AR",13.61
"Lawrence, AR",11.18
"Lee, AR",17.01
"Lincoln, AR",13.3
"Little River, AR",11.67
"Logan, AR",10.9
"Lonoke, AR",10.97
"Madison, AR",10.96
"Marion, AR",10.41
"Miller, AR",12.15
"Mississippi, AR",13.99
"Monroe, AR",13.79
"Montgomery, AR",10.81
"Nevada, AR",12.7
"Newton, AR",11.17
"Ouachita, AR",12.45
"Perry, AR",10.47
"Phillips, AR",16.22
"Pike, AR",11.04
"Poinsett, AR",12.28
"Polk, AR",10.77
"Pope, AR",10.54
"Prairie, AR",11.79
"Pulaski, AR",10.68
"Randolph, AR",10.5
"Saint Francis, AR",15.12
"Saline, AR",9.89
"Scott, AR",11.71
"Searcy, AR",11.0
"Sebastian, AR",11.22
"Sevier, AR",13.03
"Sharp, AR",10.99
"Stone, AR",10.85
"Union, AR",11.33
"Van Buren, AR",10.82
"Washington, AR",9.96
"White, AR",10.75
"Woodruff, AR",13.57
"Yell, AR",11.32
"Alameda, CA",9.29
"Alpine, CA",8.63
"Amador, CA",8.06
"Butte, CA",9.19
"Calaveras, CA",8.16
"Colusa, CA",10.64
"Contra Costa, CA",8.48
"Del Norte, CA",9.82
"El Dorado, CA",7.63
"Fresno, CA",12.26
"Glenn, CA",10.26
"Humboldt, CA",9.06
"Imperial, CA",14.43
"Inyo, CA",8.7
"Kern, CA",12.13
"Kings, CA",12.47
"Lake, CA",9.87
"Lassen, CA",9.15
"Los Angeles, CA",11.26
"Madera, CA",11.89
"Marin, CA",6.15
"Mariposa, CA",8.91
"Mendocino, CA",9.05
"Merced, CA",12.92
"Modoc, CA",8.98
"Mono, CA",8.22
"Monterey, CA",10.65
"Napa, CA",7.92
"Nevada, CA",6.89
