county_state,hyp_total_2009
"Autauga, AL",38.87
"Baldwin, AL",36.79
"Barbour, AL",47.63
"Bibb, AL",43.28
"Blount, AL",40.8
"Bullock, AL",51.12
"Butler, AL",45.95
"Calhoun, AL",43.82
"Chambers, AL",45.28
"Cherokee, AL",42.8
"Chilton, AL",41.52
"Choctaw, AL",46.26
"Clarke, AL",46.44
"Clay, AL",41.96
"Cleburne, AL",41.69
"Coffee, AL",41.15
"Colbert, AL",41.17
"Conecuh, AL",45.23
"Coosa, AL",44.43
"Covington, AL",41.58
"Crenshaw, AL",43.54
"Cullman, AL",40.28
"Dale, AL",42.13
"Dallas, AL",49.14
"DeKalb, AL",41.12
"Elmore, AL",40.14
"Escambia, AL",43.13
"Etowah, AL",43.4
"Fayette, AL",41.36
"Franklin, AL",41.11
"Geneva, AL",41.54
"Greene, AL",50.85
"Hale, AL",47.94
"Henry, AL",43.46
"Houston, AL",41.53
"Jackson, AL",39.41
"Jefferson, AL",41.64
"Lamar, AL",41.32
"Lauderdale, AL",38.4
"Lawrence, AL",41.9
"Lee, AL",39.71
"Limestone, AL",40.23
"Lowndes, AL",49.95
"Macon, AL",52.52
"Madison, AL",37.32
"Marengo, AL",45.56
"Marion, AL",41.54
"Marshall, AL",39.84
"Mobile, AL",41.95
"Monroe, AL",43.87
"Montgomery, AL",42.34
"Morgan, AL",39.5
"Perry, AL",50.33
"Pickens, AL",45.82
"Pike, AL",44.74
"Randolph, AL",42.88
"Russell, AL",44.5
"St. Clair, AL",42.46
"Shelby, AL",34.3
"Sumter, AL",51.84
"Talladega, AL",45.81
"Tallapoosa, AL",41.43
"Tuscaloosa, AL",41.43
"Walker, AL",41.36
"Washington, AL",43.38
"Wilcox, AL",50.54
"Winston, AL",41.74
"Aleutians East, AK",38.53
"Aleutians West, AK",36.36
"Anchorage, AK",33.47
"Bethel, AK",35.65
"Bristol Bay, AK",35.97
"Denali, AK",35.21
"Dillingham, AK",34.55
"Fairbanks North Star, AK",34.25
"Haines, AK",31.84
"Juneau City and, AK",31.67
"Kenai Peninsula, AK",34.01
"Ketchikan Gateway, AK",35.31
"Kodiak Island, AK",33.61
