county_state,obs_total_2006
"Autauga, AL",67.26
"Baldwin, AL",76.59
"Barbour, AL",59.95
"Bibb, AL",59.95
"Blount, AL",62.09
"Bullock, AL",58.69
"Butler, AL",66.85
"Calhoun, AL",64.35
"Chambers, AL",65.92
"Cherokee, AL",60.9
"Chilton, AL",61.58
"Choctaw, AL",63.45
"Clarke, AL",65.52
"Clay, AL",61.35
"Cleburne, AL",62.64
"Coffee, AL",69.91
"Colbert, AL",65.84
"Conecuh, AL",63.32
"Coosa, AL",60.59
"Covington, AL",64.91
"Crenshaw, AL",66.06
"Cullman, AL",67.42
"Dale, AL",69.58
"Dallas, AL",63.93
"DeKalb, AL",61.52
"Elmore, AL",67.6
"Escambia, AL",63.51
"Etowah, AL",62.83
"Fayette, AL",63.65
"Franklin, AL",60.7
"Geneva, AL",65.7
"Greene, AL",56.23
"Hale, AL",57.93
"Henry, AL",64.43
"Houston, AL",67.51
"Jackson, AL",63.46
"Jefferson, AL",68.42
"Lamar, AL",67.15
"Lauderdale, AL",67.67
"Lawrence, AL",65.99
"Lee, AL",72.01
"Limestone, AL",67.56
"Lowndes, AL",61.93
"Macon, AL",66.09
"Madison, AL",71.44
"Marengo, AL",64.06
"Marion, AL",64.1
"Marshall, AL",60.93
"Mobile, AL",67.58
"Monroe, AL",67.27
"Montgomery, AL",71.02
"Morgan, AL",70.09
"Perry, AL",58.42
"Pickens, AL",64.77
"Pike, AL",64.12
"Randolph, AL",66.98
"Russell, AL",63.45
"St. Clair, AL",68.08
"Shelby, AL",74.81
"Sumter, AL",61.82
"Talladega, AL",60.81
"Tallapoosa, AL",65.52
"Tuscaloosa, AL",67.12
"Walker, AL",62.45
"Washington, AL",66.86
"Wilcox, AL",59.73
"Winston, AL",62.36
"Aleutians East, AK",72.87
"Aleutians West, AK",76.32
"Anchorage, AK",76.39
"Bethel, AK",67.83
"Bristol Bay, AK",78.02
"Dillingham, AK",72.38
"Fairbanks North Star, AK",75.88
"Haines, AK",78.98
"Hoonah-Angoon, AK",76.99
"Juneau City and, AK",83.08
"Kenai Peninsula, AK",77.74
"Ketchikan Gateway, AK",75.75
"Kodiak Island, AK",78.29
"Lake and Peninsula, AK",69.94
"Matanuska-Susitna, AK",78.11
"Nome, AK",70.76
"North Slope, AK",66.95
"Northwest Arctic, AK",65.87
"Petersburg, AK",75.75
"Prince of Wales-Hyder, AK",75.75
"Sitka City and, AK",80.52
"Skagway, AK",76.99
"Southeast Fairbanks, AK",73.01
"Valdez-Cordova, AK",74.64
"Wade Hampton, AK",62.32
"Wrangell City and, AK",75.75
"Yakutat City and, AK",74.77
"Yukon-Koyukuk, AK",72.4
"Apache, AZ",65.01
"Cochise, AZ",72.57
"Coconino, AZ",80.01
"Gila, AZ",71.28
"Graham, AZ",72.24
"Greenlee, AZ",72.11
"La Paz, AZ",69.4
"Maricopa, AZ",76.0
"Mohave, AZ",72.1
"Navajo, AZ",73.52
"Pima, AZ",76.09
"Pinal, AZ",70.82
"Santa Cruz, AZ",68.64
"Yavapai, AZ",77.47
"Yuma, AZ",70.18
"Arkansas, AR",64.93
"Ashley, AR",61.63
"Baxter, AR",72.39
"Benton, AR",72.01
"Boone, AR",72.17
"Bradley, AR",57.19
"Calhoun, AR",66.3
"Carroll, AR",69.88
"Chicot, AR",61.0
"Clark, AR",66.95
"Clay, AR",60.42
"Cleburne, AR",68.44
"Cleveland, AR",69.42
"Columbia, AR",69.33
"Conway, AR",69.09
"Craighead, AR",70.56
"Crawford, AR",67.75
"Crittenden, AR",62.16
"Cross, AR",62.32
"Dallas, AR",60.19
"Desha, AR",58.98
"Drew, AR",67.34
"Faulkner, AR",71.17
"Franklin, AR",67.18
"Fulton, AR",71.87
"Garland, AR",71.7
"Grant, AR",65.49
"Greene, AR",66.56
"Hempstead, AR",66.22
"Hot Spring, AR",63.49
"Howard, AR",68.68
"Independence, AR",68.38
"Izard, AR",69.77
"Jackson, AR",58.44
"Jefferson, AR",64.64
"Johnson, AR",64.81
"Lafayette, AR",64.01
"Lawrence, AR",62.17
"Lee, AR",52.87
"Lincoln, AR",62.66
"Little River, AR",65.98
"Logan, AR",66.83
"Lonoke, AR",68.98
"Madison, AR",69.51
"Marion, AR",72.75
"Miller, AR",66.23
"Mississippi, AR",57.28
"Monroe, AR",58.0
"Montgomery, AR",71.13
"Nevada, AR",66.62
"Newton, AR",72.15
"Ouachita, AR",64.15
"Perry, AR",66.54
"Phillips, AR",55.28
"Pike, AR",68.36
"Poinsett, AR",58.83
"Polk, AR",69.63
"Pope, AR",73.94
"Prairie, AR",64.88
"Pulaski, AR",70.87
"Randolph, AR",66.57
"St. Francis, AR",56.44
"Saline, AR",72.6
"Scott, AR",66.77
"Searcy, AR",68.09
"Sebastian, AR",68.42
"Sevier, AR",63.06
"Sharp, AR",68.8
"Stone, AR",66.34
"Union, AR",67.64
"Van Buren, AR",70.9
"Washington, AR",74.12
"White, AR",69.51
"Woodruff, AR",60.78
"Yell, AR",60.71
"Alameda, CA",81.94
"Alpine, CA",77.9
"Amador, CA",77.76
"Butte, CA",78.43
"Calaveras, CA",78.25
"Colusa, CA",65.97
"Contra Costa, CA",78.43
"Del Norte, CA",75.0
"El Dorado, CA",80.18
"Fresno, CA",70.96
"Glenn, CA",70.69
"Humboldt, CA",77.26
"Imperial, CA",65.17
"Inyo, CA",75.47
"Kern, CA",67.68
"Kings, CA",65.8
"Lake, CA",77.59
"Lassen, CA",73.06
"Los Angeles, CA",73.61
