county_state,hyp_total_2009,cig_total_2012,cig_daily_2012,obs_total_2006,dbt_total_2012,alc_any_2008,alc_heavy_2008,alc_binge_2008,hd_deaths_per100k_over65
"Autauga, AL",38.87,25.1,18.41,67.26,11.44,41.2,6.0,13.1,1292.6
"Baldwin, AL",36.79,20.9,16.02,76.59,9.76,55.1,9.1,17.7,1182.2
"Barbour, AL",47.63,26.25,18.73,59.95,14.65,37.0,5.6,12.0,1508.6
"Bibb, AL",43.28,29.41,22.62,59.95,12.32,34.2,5.2,11.6,1362.3
"Blount, AL",40.8,27.17,19.88,62.09,11.14,34.1,4.8,10.8,1327.2
"Bullock, AL",51.12,26.84,18.49,58.69,17.74,36.5,5.8,12.8,1223.2
"Butler, AL",45.95,28.14,20.22,66.85,14.16,35.6,5.7,11.9,1138.2
"Calhoun, AL",43.82,26.42,19.94,64.35,12.48,38.9,4.9,12.3,1743.1
"Chambers, AL",45.28,28.18,20.96,65.92,13.91,36.7,5.7,13.2,1111.6
"Cherokee, AL",42.8,25.76,19.77,60.9,11.38,31.9,4.6,10.5,1217.7
"Chilton, AL",41.52,27.62,21.08,61.58,11.43,31.6,4.7,10.7,1528.6
"Choctaw, AL",46.26,24.66,17.62,63.45,14.62,31.5,4.9,10.9,1525.6
"Clarke, AL",46.44,24.2,17.74,65.52,13.88,34.6,5.1,11.9,1255.4
"Clay, AL",41.96,28.87,22.55,61.35,11.59,29.8,3.9,9.6,1554.7
"Cleburne, AL",41.69,28.52,22.84,62.64,11.08,30.8,5.0,11.0,1565.2
"Coffee, AL",41.15,23.26,16.66,69.91,11.59,40.2,5.7,12.7,1525.1
"Colbert, AL",41.17,25.16,18.69,65.84,12.56,36.2,5.0,12.2,1502.0
"Conecuh, AL",45.23,27.43,19.82,63.32,15.02,36.5,6.1,13.1,1234.2
"Coosa, AL",44.43,29.65,22.47,60.59,13.14,34.7,5.5,12.3,1314.1
"Covington, AL",41.58,28.47,21.41,64.91,11.2,35.8,5.8,12.7,1576.6
"Crenshaw, AL",43.54,27.32,20.37,66.06,12.84,31.5,4.9,10.5,1551.6
"Cullman, AL",40.28,26.8,20.13,67.42,11.26,32.9,4.1,10.2,1710.6
"Dale, AL",42.13,23.49,17.57,69.58,12.69,40.4,5.6,13.1,1200.4
"Dallas, AL",49.14,26.39,18.02,63.93,16.8,39.7,5.1,13.3,1656.2
"DeKalb, AL",41.12,27.46,20.89,61.52,11.98,31.0,4.3,10.0,1466.4
"Elmore, AL",40.14,26.15,19.18,67.6,11.67,42.9,6.2,13.3,1618.8
"Escambia, AL",43.13,27.42,20.77,63.51,13.12,35.9,5.6,12.1,1338.6
"Etowah, AL",43.4,27.76,20.92,62.83,12.32,38.5,5.0,13.0,1546.3
"Fayette, AL",41.36,27.04,21.0,63.65,12.21,28.7,4.2,10.2,1409.3
"Franklin, AL",41.11,25.28,19.07,60.7,12.04,28.6,3.9,9.4,1504.0
"Geneva, AL",41.54,27.21,20.96,65.7,11.74,33.1,5.5,11.6,1297.3
"Greene, AL",50.85,25.99,16.75,56.23,18.2,36.2,6.3,12.4,1316.5
"Hale, AL",47.94,26.06,17.6,57.93,15.36,35.8,5.9,12.5,1417.4
"Henry, AL",43.46,23.39,17.19,64.43,12.39,34.3,5.4,11.9,1211.0
"Houston, AL",41.53,24.85,18.3,67.51,11.57,42.8,5.6,13.8,1189.0
"Jackson, AL",39.41,28.09,22.26,63.46,11.31,31.4,4.6,10.4,1472.8
"Jefferson, AL",41.64,22.06,15.87,68.42,11.93,49.9,7.0,15.9,1151.3
"Lamar, AL",41.32,26.07,19.99,67.15,12.3,27.9,3.8,9.3,1255.0
"Lauderdale, AL",38.4,23.14,17.03,67.67,11.41,35.7,4.9,11.2,1134.5
"Lawrence, AL",41.9,26.98,19.7,65.99,12.98,28.8,3.7,9.1,1395.8
"Lee, AL",39.71,20.66,14.81,72.01,12.07,49.9,7.3,16.0,1040.7
"Limestone, AL",40.23,23.59,17.11,67.56,11.63,36.5,4.7,10.8,1353.6
"Lowndes, AL",49.95,25.5,16.64,61.93,17.02,37.1,6.1,13.2,1266.4
"Macon, AL",52.52,24.63,16.09,66.09,17.58,42.5,6.6,13.2,1435.7
"Madison, AL",37.32,19.97,14.04,71.44,10.84,48.6,6.4,14.0,1235.4
"Marengo, AL",45.56,21.48,14.59,64.06,14.66,37.7,5.5,12.5,1602.1
"Marion, AL",41.54,26.78,20.84,64.1,11.62,27.4,4.0,9.7,1477.3
"Marshall, AL",39.84,27.46,21.02,60.93,12.24,36.8,5.4,12.3,1396.4
"Mobile, AL",41.95,25.03,18.13,67.58,12.73,47.8,7.7,16.7,1319.6
"Monroe, AL",43.87,26.29,19.72,67.27,13.33,34.3,4.9,11.0,1153.3
"Montgomery, AL",42.34,21.57,14.74,71.02,13.55,48.8,7.4,15.7,1025.0
"Morgan, AL",39.5,25.79,18.97,70.09,12.07,39.3,5.4,12.3,1457.6
"Perry, AL",50.33,25.76,17.01,58.42,17.82,35.9,5.9,13.2,1287.4
"Pickens, AL",45.82,26.69,19.25,64.77,14.3,30.6,4.3,9.8,1410.4
"Pike, AL",44.74,22.17,16.14,64.12,13.42,39.6,6.6,13.4,1245.8
"Randolph, AL",42.88,28.51,22.02,66.98,12.28,35.7,5.7,11.9,1648.2
"Russell, AL",44.5,26.83,19.75,63.45,14.79,38.3,4.7,11.7,1085.9
"Shelby, AL",34.3,17.69,12.71,74.81,8.74,51.3,6.9,13.8,979.4
"Sumter, AL",51.84,24.19,15.58,61.82,18.71,36.7,6.1,13.5,1320.9
"Talladega, AL",45.81,26.41,20.0,60.81,12.78,37.2,5.3,12.0,1584.3
"Tallapoosa, AL",41.43,26.83,19.79,65.52,12.19,37.8,5.5,12.3,1476.9
"Tuscaloosa, AL",41.43,22.4,16.12,67.12,11.97,44.6,6.8,14.5,1323.8
"Walker, AL",41.36,28.7,21.96,62.45,11.76,31.3,4.3,11.1,2123.5
"Washington, AL",43.38,25.16,18.74,66.86,13.26,31.7,4.7,10.0,1273.6
"Wilcox, AL",50.54,25.72,17.19,59.73,17.68,35.0,6.1,14.5,1630.8
"Winston, AL",41.74,28.17,21.6,62.36,12.06,29.4,4.4,11.0,1320.5
"Apache, AZ",38.18,26.8,17.83,65.01,14.95,34.7,6.3,15.8,880.0
"Cochise, AZ",36.77,20.99,14.25,72.57,9.77,53.6,7.8,16.8,1006.0
"Coconino, AZ",32.01,21.54,13.92,80.01,9.77,58.4,8.9,17.4,783.3
"Gila, AZ",36.04,26.69,19.22,71.28,10.39,53.1,9.3,19.2,1009.4
"Graham, AZ",37.15,22.29,16.04,72.24,11.26,36.0,5.6,14.5,881.3
"Greenlee, AZ",34.75,20.67,13.84,72.11,10.41,45.4,8.1,17.4,982.7
"La Paz, AZ",37.12,26.75,18.27,69.4,12.12,53.4,10.6,21.6,994.2
"Maricopa, AZ",33.62,19.71,13.14,76.0,9.52,59.4,8.5,17.9,866.7
"Mohave, AZ",36.45,29.22,21.85,72.1,9.6,60.4,11.0,20.7,1187.9
"Navajo, AZ",36.9,24.48,16.83,73.52,12.27,41.8,6.4,14.3,885.5
"Pima, AZ",35.04,19.53,13.31,76.09,9.03,59.7,8.7,17.4,858.8
"Pinal, AZ",37.72,23.56,17.29,70.82,11.65,56.4,9.3,18.4,731.6
"Santa Cruz, AZ",35.07,17.71,10.46,68.64,11.23,55.6,8.8,21.3,774.7
"Yavapai, AZ",33.12,23.69,16.58,77.47,8.44,60.2,9.8,17.1,873.4
"Yuma, AZ",36.44,19.08,12.0,70.18,12.12,54.4,9.3,18.9,842.6
"Arkansas, AR",40.57,27.6,20.82,64.93,11.83,42.8,5.3,13.4,1370.3
"Ashley, AR",41.52,26.61,19.87,61.63,11.83,36.0,5.0,11.4,1378.9
"Baxter, AR",36.71,27.4,21.18,72.39,9.22,50.0,8.0,16.4,1068.9
"Benton, AR",36.13,20.88,15.64,72.01,10.46,51.5,6.4,14.0,1168.8
"Boone, AR",36.48,26.57,20.86,72.17,9.95,39.6,5.9,12.5,1658.2
"Bradley, AR",41.09,27.22,20.06,57.19,12.63,33.6,4.2,11.0,1723.2
"Calhoun, AR",42.25,29.84,22.84,66.3,11.64,39.3,8.0,15.7,1453.2
"Carroll, AR",36.59,24.58,18.71,69.88,10.35,46.3,7.4,15.8,1358.7
"Chicot, AR",46.18,26.63,18.46,61.0,15.19,36.8,5.8,12.3,1366.9
"Clark, AR",40.81,23.96,17.23,66.95,11.85,38.8,5.0,11.7,1327.6
"Clay, AR",40.78,30.33,24.51,60.42,10.86,38.5,5.6,13.0,1291.9
"Cleburne, AR",38.25,26.25,19.95,68.44,10.32,44.7,6.2,14.0,958.1
"Cleveland, AR",40.0,26.75,19.77,69.42,10.67,38.6,6.1,13.5,1314.8
"Columbia, AR",43.31,24.82,17.94,69.33,12.1,40.6,5.3,12.3,1269.7
"Conway, AR",40.06,27.09,20.36,69.09,11.26,46.4,9.6,18.0,1255.6
"Craighead, AR",38.51,24.58,18.74,70.56,10.45,39.7,5.6,12.1,1322.1
"Crawford, AR",40.61,29.17,22.25,67.75,11.22,40.8,5.8,12.7,1259.6
"Crittenden, AR",46.26,27.03,19.4,62.16,15.25,42.6,5.8,12.4,1220.2
"Cross, AR",42.38,28.22,21.06,62.32,12.22,38.0,5.6,12.4,1332.4
"Dallas, AR",44.18,30.02,21.99,60.19,13.06,42.4,7.6,15.2,1320.5
"Desha, AR",44.93,27.6,19.73,58.98,14.07,38.2,5.9,12.9,1891.7
"Drew, AR",40.86,24.34,17.38,67.34,11.89,39.0,5.1,12.2,1032.5
"Faulkner, AR",36.76,22.76,16.2,71.17,10.61,45.9,6.3,13.1,1167.3
"Franklin, AR",40.33,28.45,22.18,67.18,10.63,43.9,7.5,16.4,1346.6
"Fulton, AR",39.65,27.6,21.7,71.87,10.49,40.0,5.9,12.8,1144.7
"Garland, AR",38.23,28.09,21.58,71.7,10.67,52.4,7.2,16.2,1316.5
"Grant, AR",38.63,27.46,20.48,65.49,9.74,40.2,5.7,12.1,1212.2
"Greene, AR",38.64,28.94,23.91,66.56,11.27,39.8,6.3,13.6,1226.0
"Hempstead, AR",42.73,24.98,18.08,66.22,13.57,39.6,5.5,12.3,1365.1
"Hot Spring, AR",40.23,30.36,23.33,63.49,10.81,40.3,6.1,13.0,1281.7
"Howard, AR",39.7,27.7,20.2,68.68,12.04,36.2,5.3,11.8,1912.8
"Independence, AR",38.13,26.72,20.81,68.38,10.12,40.4,5.4,13.1,1531.9
"Izard, AR",38.68,27.83,21.73,69.77,10.93,40.3,5.6,13.0,1256.3
"Jackson, AR",42.49,31.6,24.17,58.44,12.63,37.8,7.0,14.5,1401.3
"Jefferson, AR",45.02,27.1,18.07,64.64,14.07,43.7,6.7,14.0,1344.7
"Johnson, AR",38.13,25.4,19.64,64.81,10.85,38.7,6.5,13.9,1345.1
"Lafayette, AR",44.74,27.19,19.62,64.01,13.61,36.1,5.2,11.7,1231.8
"Lawrence, AR",41.47,29.49,23.69,62.17,11.18,36.2,5.4,12.3,1359.6
"Lee, AR",51.27,30.3,22.02,52.87,17.01,36.2,6.5,12.9,1052.3
"Lincoln, AR",46.61,30.6,21.84,62.66,13.3,34.4,5.9,12.4,1426.6
"Little River, AR",40.01,27.4,20.3,65.98,11.67,38.2,5.5,12.0,1330.8
"Logan, AR",40.65,28.69,22.89,66.83,10.9,38.4,5.5,13.1,1360.7
"Lonoke, AR",39.34,25.34,18.82,68.98,10.97,43.8,6.4,13.5,1085.5
"Madison, AR",39.48,28.31,22.09,69.51,10.96,40.1,6.5,13.4,1830.6
"Marion, AR",38.49,28.33,21.57,72.75,10.41,47.7,7.7,14.7,1306.4
"Miller, AR",41.69,28.29,21.36,66.23,12.15,43.1,7.4,15.2,1278.8
"Mississippi, AR",44.15,29.41,22.06,57.28,13.99,34.0,5.7,12.0,1730.9
"Monroe, AR",46.36,27.62,20.22,58.0,13.79,36.6,5.3,12.7,1714.9
"Montgomery, AR",40.08,28.13,21.49,71.13,10.81,38.6,5.9,12.9,1247.0
"Nevada, AR",42.87,27.02,20.11,66.62,12.7,39.6,5.7,12.1,1361.8
"Newton, AR",39.55,25.7,20.0,72.15,11.17,39.4,6.6,13.0,1761.4
"Ouachita, AR",44.1,27.08,19.73,64.15,12.45,38.7,6.2,13.5,1300.5
"Perry, AR",39.3,29.85,23.08,66.54,10.47,40.3,7.1,14.1,1187.7
"Phillips, AR",48.55,28.55,20.19,55.28,16.22,39.1,6.2,12.5,977.1
"Pike, AR",38.54,26.77,20.2,68.36,11.04,35.8,5.5,12.8,1530.5
"Poinsett, AR",43.16,31.75,24.82,58.83,12.28,34.4,6.1,13.3,1492.8
"Polk, AR",38.9,28.06,21.18,69.63,10.77,39.3,6.1,13.4,1538.1
"Pope, AR",37.16,23.92,18.15,73.94,10.54,44.6,6.0,13.6,1187.1
"Prairie, AR",41.17,27.16,20.84,64.88,11.79,38.6,5.4,13.4,1206.6
"Pulaski, AR",38.54,23.13,14.9,70.87,10.68,53.4,7.6,14.9,1068.1
"Randolph, AR",39.38,27.76,21.87,66.57,10.5,35.7,6.1,13.0,1253.9
"Saline, AR",36.74,26.26,19.98,72.6,9.89,48.6,6.6,13.3,1235.2
"Scott, AR",40.89,29.32,22.94,66.77,11.71,35.8,5.9,12.4,1351.7
"Searcy, AR",40.08,29.01,22.4,68.09,11.0,38.8,7.0,13.9,1078.6
"Sebastian, AR",39.75,27.81,21.11,68.42,11.22,44.6,6.2,14.5,1264.9
"Sevier, AR",38.03,27.28,19.57,63.06,13.03,34.2,4.8,12.2,1314.6
"Sharp, AR",39.98,28.52,22.26,68.8,10.99,38.3,5.4,12.9,1419.4
"Stone, AR",39.0,28.07,21.75,66.34,10.85,38.5,5.9,13.0,1073.3
"Union, AR",41.61,27.09,20.27,67.64,11.33,38.7,5.3,12.3,1133.6
"Van Buren, AR",38.7,27.91,20.9,70.9,10.82,42.9,5.9,13.8,1066.3
"Washington, AR",36.74,22.31,16.11,74.12,9.96,50.0,6.9,15.6,2242.8
"White, AR",38.86,25.8,19.69,69.51,10.75,38.0,5.7,12.4,1457.2
"Woodruff, AR",44.61,28.88,21.24,60.78,13.57,37.6,6.4,14.1,1418.6
"Yell, AR",37.59,27.45,21.03,60.71,11.32,37.5,5.6,13.1,1430.1
"Alameda, CA",33.19,12.93,8.62,81.94,9.29,59.8,9.9,19.0,723.3
"Alpine, CA",35.66,18.23,11.74,77.9,8.63,57.1,13.2,18.9,910.8
"Amador, CA",36.48,22.43,16.49,77.76,8.06,62.4,13.0,19.8,959.4
"Butte, CA",35.94,21.01,15.24,78.43,9.19,56.7,10.2,17.6,1002.9
"Calaveras, CA",36.45,19.66,14.34,78.25,8.16,61.5,13.2,19.9,927.8
"Colusa, CA",34.98,19.69,13.07,65.97,10.64,53.2,9.2,17.0,961.8
"Contra Costa, CA",33.36,13.92,9.24,78.43,8.48,63.2,9.9,18.6,709.3
"Del Norte, CA",37.72,26.01,18.67,75.0,9.82,51.8,8.7,16.4,961.4
"El Dorado, CA",34.41,16.92,11.77,80.18,7.63,65.4,11.9,19.4,856.9
"Fresno, CA",36.22,17.28,11.35,70.96,12.26,47.1,6.9,15.6,1112.2
"Glenn, CA",36.59,21.46,14.88,70.69,10.26,53.0,9.1,17.1,1004.2
"Humboldt, CA",35.55,22.09,15.37,77.26,9.06,60.2,11.1,19.1,976.5
"Imperial, CA",35.39,16.22,9.58,65.17,14.43,42.7,7.5,15.0,804.7
"Inyo, CA",35.1,20.32,14.35,75.47,8.7,57.8,10.8,18.6,1087.5
"Kern, CA",37.31,17.42,12.26,67.68,12.13,47.0,7.4,15.5,1204.8
"Kings, CA",36.79,17.37,12.04,65.8,12.47,48.5,8.4,16.2,1064.3
"Lake, CA",39.2,23.2,16.51,77.59,9.87,57.7,11.2,18.8,942.9
"Lassen, CA",37.65,24.35,16.87,73.06,9.15,55.2,10.4,17.0,1113.6
"Los Angeles, CA",34.82,13.37,8.31,73.61,11.26,52.5,7.5,16.4,952.9
"Madera, CA",36.71,19.37,13.39,68.16,11.89,49.8,8.2,16.3,947.4
"Marin, CA",30.75,12.24,7.72,86.54,6.15,72.8,13.0,20.3,624.8
"Mariposa, CA",35.41,18.9,13.91,77.52,8.91,60.5,12.9,19.8,1008.1
"Mendocino, CA",35.79,22.03,15.12,79.33,9.05,60.5,11.0,18.7,933.3
"Merced, CA",37.33,18.25,12.65,66.57,12.92,47.3,7.3,15.7,1013.1
"Modoc, CA",37.6,20.94,14.55,76.19,8.98,58.0,11.0,18.1,1091.4
"Mono, CA",33.67,17.58,12.03,78.98,8.22,63.3,13.4,20.5,789.4
"Monterey, CA",34.36,15.39,9.65,74.57,10.65,54.3,9.1,17.1,732.5
"Napa, CA",33.12,15.36,10.28,78.44,7.92,64.3,10.3,19.0,872.4
"Nevada, CA",34.47,16.42,11.09,82.28,6.89,66.5,11.2,19.1,886.9
"Orange, CA",32.32,11.85,7.82,79.02,9.21,58.6,8.6,17.8,888.9
"Placer, CA",32.85,15.01,10.34,83.2,7.15,63.0,9.9,17.3,846.3
"Plumas, CA",33.83,21.63,15.54,78.81,7.98,62.9,13.5,20.4,1003.4
"Riverside, CA",36.74,17.08,11.38,73.62,11.31,54.0,8.5,16.5,1145.3
"Sacramento, CA",36.18,18.26,12.65,78.41,9.75,57.6,9.4,17.8,949.3
"San Benito, CA",34.27,15.77,10.04,75.49,10.83,54.7,9.1,17.2,832.8
"San Bernardino, CA",36.06,17.31,11.2,68.53,12.29,50.3,7.6,16.4,1229.0
"San Diego, CA",31.99,13.65,9.16,78.2,9.45,58.8,9.0,18.1,844.6
"San Francisco, CA",33.7,12.34,7.64,82.83,8.46,64.9,13.5,23.3,722.5
"San Joaquin, CA",35.44,18.99,13.63,75.27,11.19,52.0,8.4,16.5,970.5
"San Luis Obispo, CA",35.63,14.03,10.01,79.32,8.08,62.5,11.6,18.9,794.3
"San Mateo, CA",31.73,11.39,7.38,83.71,7.67,63.3,11.2,20.0,728.8
"Santa Barbara, CA",32.44,13.3,9.16,75.6,8.85,60.4,9.6,18.5,863.6
"Santa Clara, CA",31.25,11.25,7.07,81.01,8.58,59.0,8.9,17.8,646.5
"Santa Cruz, CA",32.34,13.58,8.58,81.52,8.25,64.2,10.6,18.8,734.8
"Shasta, CA",36.75,22.98,17.0,79.24,8.79,55.6,9.2,16.6,1256.1
"Sierra, CA",35.83,22.29,15.64,78.2,8.0,60.0,14.4,21.7,1086.3
"Siskiyou, CA",36.08,21.19,14.94,79.0,8.44,58.5,10.2,17.9,1031.6
"Solano, CA",36.72,16.64,11.51,77.34,9.93,58.8,9.4,18.0,750.2
"Sonoma, CA",32.94,16.52,11.3,82.62,7.71,66.8,11.6,20.1,837.3
"Stanislaus, CA",36.12,18.97,13.48,68.87,11.12,51.9,7.5,16.5,1135.5
"Sutter, CA",36.22,19.24,13.72,73.78,10.06,52.0,8.2,15.7,943.8
"Tehama, CA",38.15,23.92,17.48,74.51,9.71,56.6,10.5,17.9,1105.9
"Trinity, CA",37.04,23.47,16.13,78.8,8.76,59.0,13.0,19.4,1059.4
