county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Autauga, AL",25.1,18.41,42.5,6.3,13.2,1292.6
"Baldwin, AL",20.9,16.02,55.7,9.3,16.9,1182.2
"Barbour, AL",26.25,18.73,37.6,6.4,12.4,1508.6
"Bibb, AL",29.41,22.62,35.8,5.5,11.4,1362.3
"Blount, AL",27.17,19.88,34.9,5.0,10.3,1327.2
"Bullock, AL",26.84,18.49,37.1,7.0,14.1,1223.2
"Butler, AL",28.14,20.22,35.8,6.0,12.0,1138.2
"Calhoun, AL",26.42,19.94,38.2,5.3,11.8,1743.1
"Chambers, AL",28.18,20.96,39.5,7.0,13.4,1111.6
"Cherokee, AL",25.76,19.77,31.6,4.8,9.8,1217.7
"Chilton, AL",27.62,21.08,32.3,5.0,10.8,1528.6
"Choctaw, AL",24.66,17.62,33.7,5.1,10.5,1525.6
"Clarke, AL",24.2,17.74,35.0,5.1,11.5,1255.4
"Clay, AL",28.87,22.55,31.0,4.7,9.9,1554.7
"Cleburne, AL",28.52,22.84,30.5,5.1,10.3,1565.2
"Coffee, AL",23.26,16.66,41.7,6.7,13.0,1525.1
"Colbert, AL",25.16,18.69,37.2,5.4,11.9,1502.0
"Conecuh, AL",27.43,19.82,37.2,6.9,13.4,1234.2
"Coosa, AL",29.65,22.47,35.2,6.0,11.6,1314.1
"Covington, AL",28.47,21.41,37.6,6.4,12.7,1576.6
"Crenshaw, AL",27.32,20.37,32.4,5.6,10.8,1551.6
"Cullman, AL",26.8,20.13,33.5,3.9,9.6,1710.6
"Dale, AL",23.49,17.57,40.0,6.5,12.8,1200.4
"Dallas, AL",26.39,18.02,39.0,5.2,13.1,1656.2
"DeKalb, AL",27.46,20.89,31.3,4.6,9.7,1466.4
"Elmore, AL",26.15,19.18,43.9,7.1,13.4,1618.8
"Escambia, AL",27.42,20.77,37.9,6.2,12.2,1338.6
"Etowah, AL",27.76,20.92,38.6,5.2,12.4,1546.3
"Fayette, AL",27.04,21.0,32.1,4.6,10.3,1409.3
"Franklin, AL",25.28,19.07,31.2,4.1,9.5,1504.0
"Geneva, AL",27.21,20.96,33.5,6.4,12.0,1297.3
"Greene, AL",25.99,16.75,37.0,6.7,12.2,1316.5
"Hale, AL",26.06,17.6,37.1,6.3,12.0,1417.4
"Henry, AL",23.39,17.19,36.4,6.6,12.2,1211.0
"Houston, AL",24.85,18.3,42.4,6.3,14.1,1189.0
"Jackson, AL",28.09,22.26,33.2,4.8,10.4,1472.8
"Jefferson, AL",22.06,15.87,50.7,7.1,14.6,1151.3
"Lamar, AL",26.07,19.99,29.2,3.9,8.7,1255.0
"Lauderdale, AL",23.14,17.03,37.4,5.3,11.1,1134.5
"Lawrence, AL",26.98,19.7,29.9,3.8,8.6,1395.8
"Lee, AL",20.66,14.81,48.1,8.3,15.4,1040.7
